image,tp,fp,fn,precision,recall,f1,mean_iou,num_preds,num_gts
31_png.rf.bc159e5c77ecd36bfb596f76483fad24.jpg,6,0,0,1,1,0.999999999,0.681742251,6,6
15_png.rf.f927c2b10cb62f31f5173b3e6c396b40.jpg,9,2,0,0.818181818,1,0.899999999,0.724666774,11,9
9_png.rf.76d3f55856dd7a45ed25fe6646bb773f.jpg,7,1,1,0.875,0.875,0.874999999,0.648561776,8,8
309_png.rf.34fa5817aeb136bea2d3351a828b7768.jpg,5,2,0,0.714285714,1,0.833333333,0.710112631,7,5
302_png.rf.fe157a3d3ce164f3fafed5d07d2a4890.jpg,5,1,1,0.833333333,0.833333333,0.833333333,0.715942502,6,6
16_png.rf.f94e400f1ff2ca63812d8ae8082d0fa2.jpg,8,3,1,0.727272727,0.888888889,0.799999999,0.702385187,11,9
12_png.rf.7bd89d1a14ba70048943304505e72ee5.jpg,6,3,0,0.666666667,1,0.799999999,0.646910131,9,6
14_png.rf.3172de1f6ebdc1d71c06882ec364d667.jpg,17,5,4,0.772727273,0.809523809,0.790697674,0.698841453,22,21
217_png.rf.27134a51113871f4eb424ab142029bbf.jpg,11,3,3,0.785714286,0.785714286,0.785714285,0.621513844,14,14
213_png.rf.db7fa31672f51473f45da8d23f96dece.jpg,7,3,1,0.7,0.875,0.777777777,0.666731,10,8
27_png.rf.e16b2382e23f4e4e81ae677b8095025b.jpg,5,3,0,0.625,1,0.769230769,0.730439484,8,5
207_png.rf.f4d6036999c27876fac8c4636197dfa1.jpg,9,4,2,0.692307692,0.818181818,0.749999999,0.693689406,13,11
6_png.rf.8db66a58a80042fe4f9a96f070520e77.jpg,16,8,3,0.666666667,0.842105263,0.744186046,0.694182277,24,19
22_png.rf.ba5aea04e9bc7e31237f319195a51b18.jpg,9,4,3,0.692307692,0.75,0.719999999,0.610110462,13,12
13_png.rf.04f8b236d34433e000141c1a183f241a.jpg,5,3,1,0.625,0.833333333,0.714285714,0.665125668,8,6
8_png.rf.18519a96949f0529bd4e691e701445b1.jpg,5,3,1,0.625,0.833333333,0.714285714,0.652840436,8,6
2_png.rf.40ebf1eff98d843ba9423785ed4217e4.jpg,6,5,0,0.545454545,1,0.705882352,0.696784556,11,6
215_png.rf.8d1817256e3033e9f3538226f6e31faf.jpg,6,3,2,0.666666667,0.75,0.705882352,0.725958407,9,8
28_png.rf.72ad5698cd1ccddab30d2bec3725d7f0.jpg,6,3,2,0.666666667,0.75,0.705882352,0.705332935,9,8
29_png.rf.abd462bc43b7436a7a2420d21d7dafcf.jpg,14,10,2,0.583333333,0.875,0.699999999,0.703628957,24,16
415_png.rf.ba0971aea34415002edaf34557eb5e7d.jpg,14,7,5,0.666666667,0.736842105,0.699999999,0.695073187,21,19
4_png.rf.eef10e41d5920683f2a985dbd14bc176.jpg,7,4,2,0.636363636,0.777777778,0.699999999,0.695759296,11,9
116_png.rf.aab545511788b41711a994472537183f.jpg,7,3,3,0.7,0.7,0.699999999,0.69801712,10,10
88_png.rf.044789fecfa54c79d16cf55a7e11cd02.jpg,15,9,4,0.625,0.789473684,0.697674418,0.738885283,24,19
205_png.rf.bd4a40b55e0f724672fd9e8880e9f833.jpg,8,6,1,0.571428571,0.888888889,0.695652173,0.716568828,14,9
23_png.rf.cd666f7929055beedbcb520473d851ef.jpg,8,6,1,0.571428571,0.888888889,0.695652173,0.662710547,14,9
102_png.rf.e40635ed93b159ce9b035b3c42d408c9.jpg,19,16,3,0.542857143,0.863636364,0.666666666,0.663476229,35,22
307_png.rf.3ce1251a1a6a49beb861ecbfda90815d.jpg,6,6,0,0.5,1,0.666666666,0.702039421,12,6
17_png.rf.846ac5da798cd7b10141d97806bf6d55.jpg,6,5,1,0.545454545,0.857142857,0.666666666,0.646042645,11,7
89_png.rf.8229eaaa2ade0d5e67ce1a193d681b04.jpg,6,5,1,0.545454545,0.857142857,0.666666666,0.626647651,11,7
3_png.rf.1e559fc056eaaf147bd041ac252b29dc.jpg,7,4,3,0.636363636,0.7,0.666666666,0.644899726,11,10
203_png.rf.d88cdcaec596fa2fd15828e6fab15719.jpg,6,4,2,0.6,0.75,0.666666666,0.694543123,10,8
26_png.rf.1552b5e1fd984becf7f001e02e49fd5b.jpg,6,3,3,0.666666667,0.666666667,0.666666666,0.680604041,9,9
38_png.rf.e8b4828ff29d7430abd8e242f2008f61.jpg,5,2,3,0.714285714,0.625,0.666666666,0.644503236,7,8
316_png.rf.cc76bd8f48b01f09e1ec6f595c1515cd.jpg,4,2,2,0.666666667,0.666666667,0.666666666,0.754375696,6,6
90_png.rf.13896159043a5737a7af058c1caa7f30.jpg,9,7,3,0.5625,0.75,0.642857142,0.588383555,16,12
35_png.rf.4655e9ac990541716cc92457dedb8281.jpg,8,7,2,0.533333333,0.8,0.639999999,0.661203504,15,10
429_png.rf.abea0d478460f80eafd943d0b446c986.jpg,7,6,2,0.538461538,0.777777778,0.636363636,0.666187167,13,9
25_png.rf.f548b80598c3d18475a2ca1887b78fa8.jpg,7,6,2,0.538461538,0.777777778,0.636363636,0.660768867,13,9
30_png.rf.f1916b760c3c54d04f3cd6f0e7d34be1.jpg,6,5,2,0.545454545,0.75,0.631578947,0.724300623,11,8
101_png.rf.f5147031715af5b82cb20b08bc90cbb3.jpg,6,3,4,0.666666667,0.6,0.631578947,0.703576624,9,10
62_png.rf.b5576bb4e3aca08107df11c969925f16.jpg,5,3,3,0.625,0.625,0.624999999,0.637367427,8,8
65_png.rf.bf01870f42902e37a19a180463cc39ae.jpg,5,3,3,0.625,0.625,0.624999999,0.622598827,8,8
418_png.rf.952c07aa736f41ba93762c328251f33a.jpg,5,3,3,0.625,0.625,0.624999999,0.619888425,8,8
426_png.rf.35ece0a6b51ea5fb8db9e71f2eff7d57.jpg,13,11,5,0.541666667,0.722222222,0.619047619,0.726272166,24,18
206_png.rf.78624caef2e7cd74ff7acf7b8b138dbd.jpg,12,14,1,0.461538462,0.923076923,0.615384615,0.668786824,26,13
305_png.rf.e2b3d8b96722c5e1403c024d08ebb3c4.jpg,4,4,1,0.5,0.8,0.615384615,0.805415213,8,5
21_png.rf.1d68ce84e42d753c399ad67394486412.jpg,4,4,1,0.5,0.8,0.615384615,0.712234378,8,5
